epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16494,0.30363,0.40391,0.99084,0.99684,0.99854,0.9949,0.97177,0.27941,0.14309,0.93201,0.000643101,0.000643101,0.000643101
43,16905,0.3011,0.39843,0.9902,0.99698,0.9987,0.99491,0.97179,0.27928,0.14321,0.93179,0.000628101,0.000628101,0.000628101
44,17317.9,0.30014,0.39573,0.9901,0.9971,0.9987,0.99491,0.97205,0.27913,0.14334,0.93159,0.000612981,0.000612981,0.000612981
45,17735.4,0.29933,0.39234,0.98837,0.9974,0.99837,0.99492,0.97232,0.27871,0.14311,0.9314,0.000597754,0.000597754,0.000597754
46,18105.5,0.29873,0.38956,0.99049,0.99739,0.99843,0.99495,0.97212,0.27835,0.14324,0.93124,0.000582435,0.000582435,0.000582435
47,18456.3,0.29722,0.38705,0.9883,0.99794,0.9984,0.99498,0.97224,0.27808,0.14346,0.93109,0.00056704,0.00056704,0.00056704
48,18806.8,0.29549,0.38226,0.98749,0.99828,0.99853,0.99499,0.97231,0.2776,0.14366,0.93097,0.000551584,0.000551584,0.000551584
49,19156.6,0.29488,0.37621,0.98704,0.99823,0.99909,0.99499,0.97237,0.27719,0.14337,0.93073,0.000536081,0.000536081,0.000536081
50,19507.2,0.29287,0.37523,0.98607,0.9984,0.9987,0.99499,0.97267,0.27696,0.14357,0.93052,0.000520548,0.000520548,0.000520548
51,19857.5,0.2907,0.37166,0.98633,0.99846,0.99868,0.99499,0.97288,0.27656,0.14378,0.93044,0.000505,0.000505,0.000505
52,20207.6,0.28976,0.36262,0.98446,0.99843,0.99861,0.99499,0.97297,0.27615,0.14389,0.9303,0.000489452,0.000489452,0.000489452
53,20557.1,0.28898,0.36397,0.98476,0.99849,0.99869,0.99499,0.9731,0.27579,0.14369,0.93001,0.000473919,0.000473919,0.000473919
54,20906.8,0.28743,0.3576,0.98392,0.99864,0.99871,0.99499,0.97335,0.27526,0.14365,0.92984,0.000458416,0.000458416,0.000458416
55,21256.9,inf,0.35754,0.98329,0.9987,0.99869,0.99499,0.97316,0.27488,0.14336,0.92971,0.00044296,0.00044296,0.00044296
56,21606.7,0.28321,0.35176,0.98331,0.99879,0.99867,0.99499,0.97323,0.27451,0.14323,0.92947,0.000427565,0.000427565,0.000427565
57,21956.8,0.28349,0.34832,0.98311,0.99877,0.99869,0.99499,0.97349,0.27409,0.14294,0.92929,0.000412246,0.000412246,0.000412246
58,22306.7,inf,0.34814,0.98218,0.99875,0.99877,0.99499,0.9733,0.27368,0.14279,0.92907,0.000397019,0.000397019,0.000397019
59,22655.7,0.28093,0.34355,0.98304,0.99878,0.99882,0.99499,0.97338,0.2733,0.14297,0.92887,0.000381899,0.000381899,0.000381899
60,23005.3,0.27842,0.33718,0.98044,0.99882,0.99883,0.99499,0.974,0.27301,0.14293,0.92869,0.000366899,0.000366899,0.000366899
61,23354.6,0.27626,0.33472,0.97988,0.99884,0.9989,0.99499,0.97401,0.27246,0.14277,0.92845,0.000352037,0.000352037,0.000352037
62,23703.9,0.27839,0.33262,0.98091,0.99888,0.99906,0.99499,0.974,0.272,0.14273,0.92836,0.000337325,0.000337325,0.000337325
63,24053.2,0.2759,0.33177,0.98046,0.99891,0.99906,0.99499,0.97416,0.27165,0.14277,0.92834,0.000322778,0.000322778,0.000322778
64,24402.5,0.27459,0.32808,0.97903,0.99891,0.99905,0.99499,0.97454,0.27134,0.14257,0.92824,0.000308412,0.000308412,0.000308412
65,24751.8,0.2752,0.32508,0.98084,0.99889,0.99905,0.99499,0.97413,0.27099,0.1423,0.9282,0.000294239,0.000294239,0.000294239
66,25101,0.27256,0.32302,0.97985,0.99892,0.99905,0.99499,0.97415,0.27071,0.14261,0.92801,0.000280275,0.000280275,0.000280275
67,25450.1,0.27157,0.31852,0.97793,0.99895,0.99905,0.99499,0.97413,0.27045,0.14274,0.92782,0.000266532,0.000266532,0.000266532
